"","Year","","","","","","","","","","","",""
"Host Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" Brunei Darussalam","625.4","1 208.3","864.8","725.5","568.2","171.3","-150.4","460.1","517.3","374.6","577.4","204.8","-284.4"
" Cambodia","782.6","891.7","1 557.1","1 274.9","1 726.5","1 701.0","2 475.9","2 788.1","3 212.6","3 663.0","3 624.6","3 483.5","3 578.8"
" Indonesia","13 770.2","19 241.6","19 137.9","18 443.8","21 810.4","16 642.1","3 920.7","20 579.2","20 563.5","23 883.3","18 591.0","21 131.1","22 115.9"
" Lao PDR","332.6","466.8","294.4","426.7","913.2","1 079.2","1 075.7","1 695.4","1 358.0","755.5","967.7","1 071.9","635.8"
" Malaysia","9 110.9","12 224.0","9 242.4","12 107.1","10 875.3","10 180.0","11 290.3","9 295.8","7 611.3","7 859.7","3 185.3","12 144.2","17 095.8"
" Myanmar","2 248.8","2 058.2","1 354.2","2 620.9","946.2","2 824.5","2 989.5","4 002.4","1 609.8","1 729.9","2 205.6","1 005.0","2 980.9"
" Philippines","1 298.0","1 815.9","2 797.0","3 859.8","5 814.6","5 639.2","8 279.5","10 256.4","9 948.6","8 671.4","6 822.1","11 983.4","9 366.0"
" Singapore","57 460.6","39 886.6","60 101.9","56 670.9","73 284.5","59 702.3","67 504.5","85 383.1","73 546.7","97 480.4","72 931.6","131 100.9","141 187.2"
" Thailand","14 746.7","2 473.7","12 899.0","15 936.0","4 975.5","8 927.7","3 486.3","8 285.2","13 751.8","5 518.7","-4 951.0","15 158.8","11 218.0"
" Viet Nam","8 000.0","7 519.0","8 368.0","8 900.0","9 200.1","11 800.0","12 600.0","14 100.0","15 500.0","16 120.0","15 800.0","15 660.0","17 899.9"
"Grand Total","108 375.7","87 785.9","116 616.8","120 965.5","130 114.5","118 667.2","113 471.9","156 845.7","147 619.5","166 056.5","119 754.3","212 943.5","225 794.0"
